pris,pris_kvm,prisant,verditakst,BOAProm,energi,boligtype,vest,dummyGrünneløkkaSagene,dummyFrogner,dummySt.Hanshaugen,dummyGamleOslo,solgt,byggeår,alder
27000000,60134,28000000,28000000,449,F,Enebolig,0,0,0,0,0,2014,1919,95
19500000,71429,17500000,18500000,273,E,Rekkehus,0,0,1,0,0,2014,1927,87
17600000,73640,18500000,18500000,239,D,Tomannsbolig,0,0,1,0,0,2014,1927,87
17500000,83333,15300000,15300000,210,F,Leilighet,0,0,0,1,0,2014,1906,108
17500000,50725,18600000,19000000,345,F,Tomannsbolig,0,0,1,0,0,2014,1916,98
17000000,85000,15500000,15500000,200,G,Enebolig,0,0,1,0,0,2014,1897,117
16500000,55556,16500000,16500000,297,D,Enebolig,0,0,1,0,0,2014,1995,19
16250000,65000,16500000,15200000,250,G,Enebolig,0,0,1,0,0,2014,1910,104
14200000,60169,14000000,14000000,236,G,Tomannsbolig,0,0,1,0,0,2014,1934,80
13800000,66990,14000000,14000000,206,G,Enebolig,0,0,0,0,0,2014,1923,91
13800000,49286,15000000,15000000,280,E,Tomannsbolig,0,0,0,0,0,2014,1978,36
13000000,46263,12000000,#NULL!,281,G,Enebolig,0,0,0,0,0,2014,1934,80
13000000,110217,14500000,14500000,118,B,Leilighet,0,0,1,0,0,2014,2013,1
12900000,60280,13500000,13500000,214,G,Enebolig,0,0,1,0,0,2014,1971,43
12600000,58605,10000000,10000000,215,F,Enebolig,0,0,0,0,0,2014,1974,40
12600000,29302,13900000,15000000,430,E,Enebolig,0,0,0,0,0,2014,1988,26
12600000,50602,12500000,12500000,249,E,Enebolig,0,0,0,0,0,2014,1992,22
12500000,67935,12650000,13700000,184,C,Tomannsbolig,0,0,1,0,0,2014,2011,3
12400000,69663,10500000,10500000,178,G,Tomannsbolig,0,1,0,0,0,2014,1915,99
12200000,54955,10500000,10500000,222,G,Enebolig,0,0,0,0,0,2014,1920,94
11600000,56585,11980000,#NULL!,205,G,Enebolig,0,0,1,0,0,2014,1967,47
11600000,54976,12600000,12600000,211,F,Enebolig,0,0,1,0,0,2014,1974,40
11500000,56098,11200000,11200000,205,E,Tomannsbolig,0,0,1,0,0,2014,1955,59
11500000,44402,11750000,11750000,259,G,Enebolig,0,0,1,0,0,2014,1966,48
11400000,66667,11000000,11000000,171,E,Tomannsbolig,0,0,1,0,0,2014,1929,85
11225000,45445,11500000,13000000,247,G,Enebolig,0,0,1,0,0,2014,1950,64
11200000,87500,#NULL!,#NULL!,128,G,Enebolig,0,0,0,0,0,2014,1937,77
11150000,56888,11000000,11000000,196,D,Enebolig,0,0,0,0,0,2014,2000,14
11100000,36393,10500000,10500000,305,D,Enebolig,0,0,0,0,0,2014,1924,90
11000000,56995,11000000,11300000,193,E,Enebolig,0,0,0,0,0,2014,1927,87
11000000,52885,11400000,11400000,208,E,Enebolig,0,0,1,0,0,2014,1986,28
10750000,38809,9950000,10000000,277,D,Enebolig,0,0,0,0,0,2014,1999,15
10600000,58242,9100000,9100000,182,E,Enebolig,0,1,0,0,0,2014,1990,24
10500000,47727,7950000,8300000,220,E,Enebolig,0,0,0,0,0,2014,1988,26
10450000,39139,9500000,9000000,267,G,Leilighet,0,0,0,0,0,2014,1967,47
10390000,39656,10390000,12000000,262,E,Enebolig,0,0,0,0,0,2014,1984,30
10350000,54474,10000000,10000000,190,G,Leilighet,0,0,1,0,0,2014,1899,115
10000000,41494,10000000,10000000,241,G,Leilighet,0,0,0,0,1,2014,1892,122
10000000,40486,10500000,10500000,247,G,Tomannsbolig,0,0,0,0,0,2014,1924,90
